                               No. of Molecules =      200
                  No. of Atoms in Each Molecule =        1
                                      Time Step =          1.0000
                                No. of MD Steps =      600
                            Desired Temperature =         85.0000
                            Cubix Box Dimension =         21.1606
                   Lennard-Jones Parameters eps =          0.2381    Sigms          3.4050
      Cutoff for Lennard-Jones potential (RCut) =         10.0000
                                Mass of LJ Atom =         39.9480




Temperature is set to       85.000
Initial potential en        -263.22998
        Step              PE              KE                TE 
       217          -260.28324          47.47405        -212.80920
       218          -260.34885          47.53965        -212.80920
       219          -260.41619          47.60698        -212.80920
       220          -260.48520          47.67599        -212.80921
       221          -260.55583          47.74662        -212.80921
       222          -260.62802          47.81880        -212.80922
       223          -260.70170          47.89248        -212.80922
       224          -260.77681          47.96758        -212.80923
       225          -260.85328          48.04405        -212.80923
       226          -260.93103          48.12179        -212.80923
       227          -261.00999          48.20075        -212.80924
       228          -261.09008          48.28084        -212.80924
       229          -261.17124          48.36199        -212.80925
       230          -261.25338          48.44413        -212.80925
       231          -261.33643          48.52717        -212.80926
       232          -261.42031          48.61104        -212.80927
       233          -261.50493          48.69566        -212.80927
       234          -261.59023          48.78095        -212.80928
       235          -261.67611          48.86683        -212.80928
       236          -261.76250          48.95321        -212.80929
       237          -261.84932          49.04002        -212.80929
       238          -261.93647          49.12717        -212.80930
       239          -262.02387          49.21457        -212.80930
       240          -262.11144          49.30214        -212.80930
       241          -262.19910          49.38979        -212.80931
       242          -262.28677          49.47745        -212.80931
       243          -262.37436          49.56504        -212.80932
       244          -262.46179          49.65247        -212.80932
       245          -262.54900          49.73967        -212.80933
       246          -262.63589          49.82656        -212.80933
       247          -262.72239          49.91306        -212.80933
       248          -262.80844          49.99910        -212.80934
       249          -262.89395          50.08461        -212.80934
       250          -262.97885          50.16951        -212.80934
       251          -263.06308          50.25374        -212.80935
       252          -263.14657          50.33722        -212.80935
       253          -263.22924          50.41989        -212.80935
       254          -263.31105          50.50169        -212.80936
       255          -263.39193          50.58257        -212.80936
       256          -263.47182          50.66246        -212.80936
       257          -263.55068          50.74131        -212.80937
       258          -263.62843          50.81906        -212.80937
       259          -263.70504          50.89567        -212.80937
       260          -263.78046          50.97109        -212.80937
       261          -263.85466          51.04528        -212.80937
       262          -263.92759          51.11821        -212.80937
       263          -263.99923          51.18985        -212.80938
       264          -264.06953          51.26015        -212.80938
       265          -264.13846          51.32909        -212.80938
       266          -264.20600          51.39663        -212.80938
       267          -264.27212          51.46274        -212.80938
       268          -264.33679          51.52741        -212.80938
       269          -264.40001          51.59063        -212.80938
       270          -264.46175          51.65237        -212.80938
       271          -264.52201          51.71263        -212.80938
       272          -264.58076          51.77138        -212.80938
       273          -264.63802          51.82864        -212.80938
       274          -264.69376          51.88438        -212.80938
       275          -264.74799          51.93862        -212.80938
       276          -264.80072          51.99134        -212.80937
       277          -264.85194          52.04257        -212.80937
       278          -264.90166          52.09229        -212.80937
       279          -264.94990          52.14053        -212.80937
       280          -264.99667          52.18731        -212.80937
       281          -265.04200          52.23264        -212.80937
       282          -265.08590          52.27653        -212.80937
       283          -265.12838          52.31901        -212.80937
       284          -265.16946          52.36009        -212.80937
       285          -265.20916          52.39979        -212.80937
       286          -265.24751          52.43815        -212.80936
       287          -265.28454          52.47518        -212.80936
       288          -265.32026          52.51090        -212.80936
       289          -265.35471          52.54535        -212.80936
       290          -265.38792          52.57857        -212.80935
       291          -265.41992          52.61057        -212.80935
       292          -265.45074          52.64139        -212.80935
       293          -265.48041          52.67106        -212.80935
       294          -265.50896          52.69961        -212.80935
       295          -265.53642          52.72708        -212.80935
       296          -265.56283          52.75349        -212.80934
       297          -265.58822          52.77888        -212.80934
       298          -265.61263          52.80329        -212.80934
       299          -265.63608          52.82675        -212.80934
       300          -265.65862          52.84928        -212.80933
       301          -265.68027          52.87094        -212.80933
       302          -265.70107          52.89174        -212.80933
       303          -265.72105          52.91173        -212.80932
       304          -265.74026          52.93094        -212.80933
       305          -265.75873          52.94940        -212.80932
       306          -265.77647          52.96715        -212.80932
       307          -265.79352          52.98421        -212.80932
       308          -265.80992          53.00061        -212.80931
       309          -265.82569          53.01638        -212.80931
       310          -265.84086          53.03155        -212.80931
       311          -265.85546          53.04615        -212.80931
       312          -265.86950          53.06020        -212.80930
       313          -265.88302          53.07372        -212.80930
       314          -265.89604          53.08674        -212.80930
       315          -265.90858          53.09928        -212.80930
       316          -265.92066          53.11136        -212.80930
       317          -265.93230          53.12300        -212.80930
       318          -265.94353          53.13423        -212.80930
       319          -265.95435          53.14506        -212.80929
       320          -265.96479          53.15550        -212.80930
       321          -265.97486          53.16557        -212.80929
       322          -265.98458          53.17529        -212.80929
       323          -265.99396          53.18467        -212.80929
       324          -266.00299          53.19370        -212.80929
       325          -266.01169          53.20241        -212.80929
       326          -266.02008          53.21080        -212.80929
       327          -266.02817          53.21888        -212.80929
       328          -266.03594          53.22665        -212.80929
       329          -266.04341          53.23412        -212.80929
       330          -266.05057          53.24128        -212.80929
       331          -266.05743          53.24815        -212.80929
       332          -266.06400          53.25471        -212.80929
       333          -266.07026          53.26098        -212.80928
       334          -266.07621          53.26692        -212.80929
       335          -266.08184          53.27256        -212.80928
       336          -266.08716          53.27787        -212.80928
       337          -266.09215          53.28286        -212.80929
       338          -266.09680          53.28751        -212.80929
       339          -266.10110          53.29181        -212.80929
       340          -266.10505          53.29576        -212.80928
       341          -266.10863          53.29934        -212.80928
       342          -266.11183          53.30255        -212.80928
       343          -266.11465          53.30537        -212.80928
       344          -266.11706          53.30778        -212.80928
       345          -266.11905          53.30977        -212.80928
       346          -266.12062          53.31134        -212.80929
       347          -266.12176          53.31247        -212.80929
       348          -266.12243          53.31313        -212.80929
       349          -266.12262          53.31333        -212.80930
       350          -266.12233          53.31303        -212.80930
       351          -266.12152          53.31222        -212.80930
       352          -266.12018          53.31088        -212.80930
       353          -266.11829          53.30899        -212.80930
       354          -266.11582          53.30652        -212.80930
       355          -266.11278          53.30347        -212.80930
       356          -266.10912          53.29982        -212.80931
       357          -266.10485          53.29554        -212.80931
       358          -266.09993          53.29062        -212.80931
       359          -266.09434          53.28503        -212.80931
       360          -266.08807          53.27876        -212.80931
       361          -266.08110          53.27178        -212.80932
       362          -266.07339          53.26407        -212.80932
       363          -266.06494          53.25561        -212.80932
       364          -266.05571          53.24638        -212.80933
       365          -266.04570          53.23637        -212.80933
       366          -266.03488          53.22555        -212.80933
       367          -266.02323          53.21390        -212.80933
       368          -266.01073          53.20140        -212.80933
       369          -265.99736          53.18802        -212.80933
       370          -265.98309          53.17376        -212.80933
       371          -265.96791          53.15857        -212.80933
       372          -265.95180          53.14246        -212.80934
       373          -265.93475          53.12541        -212.80934
       374          -265.91673          53.10739        -212.80934
       375          -265.89773          53.08839        -212.80934
       376          -265.87772          53.06838        -212.80934
       377          -265.85669          53.04735        -212.80934
       378          -265.83461          53.02527        -212.80934
       379          -265.81147          53.00213        -212.80934
       380          -265.78727          52.97793        -212.80934
       381          -265.76199          52.95265        -212.80934
       382          -265.73560          52.92626        -212.80934
       383          -265.70808          52.89874        -212.80935
       384          -265.67942          52.87008        -212.80935
